time,HZ1,HZ2,HZ3,HZ4
2022-09-02 15:50:24.000,34.58,36.16,36.38,35.18
2022-09-02 14:24:00.000,38.2,40.7,41.2,39.4
2022-09-02 12:57:36.000,60.81,69.69,70.91,64.2
2022-09-02 11:31:12.000,154.62,188.39,195.75,175.44
2022-09-02 10:04:48.000,49.31,39.04,56.93,38.5
2022-09-02 08:38:24.000,24.3,24.6,24.7,24.5
2022-09-02 07:12:00.000,25.29,25.89,25.99,25.49
2022-09-02 05:45:36.000,29.55,31.25,31.65,30.45
2022-09-02 04:19:12.000,41.97,47.27,48.47,44.74
2022-09-02 02:52:48.000,84.26,102.83,107.13,93.51
2022-09-02 01:26:24.000,190.04,220.04,219.94,230.34
2022-09-02 00:00:00.000,190.01,220.01,219.93,229.91
2022-09-01 22:33:36.000,189.96,220.16,220.06,229.91
2022-09-01 21:07:12.000,189.98,219.98,219.98,229.51
2022-09-01 19:40:48.000,190.02,219.98,220.02,230.62
2022-09-01 18:14:24.000,189.89,219.89,219.99,229.79
2022-09-01 16:48:00.000,190.09,219.99,220.02,230.13
2022-09-01 15:21:36.000,190.01,220.01,219.97,229.52
2022-09-01 13:55:12.000,66.39,50.62,76.54,50.08
2022-09-01 12:28:48.000,24.44,24.44,24.44,24.54
2022-09-01 11:02:24.000,23.49,23.49,23.49,23.69
2022-09-01 09:36:00.000,22.76,22.76,22.76,22.86
2022-09-01 08:09:36.000,22.5,22.6,22.6,22.5
2022-09-01 06:43:12.000,22.8,22.9,22.9,22.7
2022-09-01 05:16:48.000,24.27,24.67,24.67,24.27
2022-09-01 03:50:24.000,27.45,28.55,28.75,28.05
2022-09-01 02:24:00.000,34.99,38.09,38.89,36.89
2022-09-01 00:57:36.000,58.26,68.33,70.49,63.12
2022-08-31 23:31:12.000,145.77,180.45,189.31,166.42
2022-08-31 22:04:48.000,190.07,220.0,219.95,229.9
2022-08-31 20:38:24.000,190.05,220.01,219.97,230.15
2022-08-31 19:12:00.000,189.93,219.93,220.03,230.03
2022-08-31 17:45:36.000,190.02,219.92,219.98,229.72
2022-08-31 16:19:12.000,189.98,219.98,220.02,229.68
2022-08-31 14:52:48.000,219.9,245.0,245.1,248.92
2022-08-31 13:26:24.000,220.02,245.05,244.95,250.15
2022-08-31 12:00:00.000,220.83,244.2,244.6,248.79
2022-08-31 10:33:36.000,219.99,244.99,244.79,252.66
2022-08-30 17:16:48.000,198.34,232.57,237.05,226.84
2022-08-30 15:50:24.000,134.79,110.47,154.04,102.16
2022-08-30 14:24:00.000,95.64,114.38,117.81,105.1
2022-08-30 12:57:36.000,220.07,245.07,244.97,249.92
2022-08-26 15:21:36.000,97.86,117.21,119.67,105.61
2022-08-26 13:55:12.000,193.62,194.8,204.83,209.63
2022-08-26 12:28:48.000,209.31,201.91,219.81,230.01
2022-08-25 16:19:12.000,176.08,195.2,207.12,199.97
2022-08-25 14:52:48.000,209.82,202.87,219.98,230.12
2022-08-25 13:26:24.000,30.8,30.5,30.4,30.4
2022-08-25 12:00:00.000,29.77,29.87,29.87,29.87
2022-08-25 10:33:36.000,29.28,29.58,29.68,29.58
2022-08-25 09:07:12.000,30.32,31.02,31.22,30.92
2022-08-25 07:40:48.000,34.81,36.83,37.33,36.23
2022-08-25 06:14:24.000,49.68,55.99,57.39,53.71
2022-08-25 04:48:00.000,104.19,127.47,132.88,119.65
2022-08-25 03:21:36.000,179.93,199.93,219.93,231.09
2022-08-25 01:55:12.000,179.96,199.96,219.96,231.19
2022-08-25 00:28:48.000,179.93,199.93,220.03,231.93
2022-08-24 23:02:24.000,179.99,200.09,220.09,230.17
