time,bead_width (mm),screw_rpm (RPM),screw_rpm_setpoint (RPM),screw_torque (Nm),hz1 (°C),hz1_setpoint (°C),hz2 (°C),hz2_setpoint (°C),hz3 (°C),hz3_setpoint (°C),hz4 (°C),hz4_setpoint (°C)
2022-10-06 11:40:43.915,,,,,,,,,,,250.0,250.0
2022-10-06 11:40:43.714,,,,,,,,,,,250.0,250.0
2022-10-06 11:40:43.514,,,,,,,,,,,250.0,250.0
2022-10-06 11:40:43.315,,,,,,,,,,,250.0,250.0
2022-10-06 11:40:43.121,0.18,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:42.919,0.11,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:41.913,1.11,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:41.717,0.92,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:41.521,0.91,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:41.314,0.39,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:41.116,0.76,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:40.916,2.57,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:40.711,2.81,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:40.516,2.7,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:40.315,1.98,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:40.115,2.29,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:39.915,2.27,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:39.722,2.87,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:39.513,3.29,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:39.317,1.88,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:39.121,0.29,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:38.920,2.07,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:38.714,1.85,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:38.514,3.92,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:38.320,2.93,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:38.117,2.48,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:37.920,2.79,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:37.714,0.23,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:37.520,0.0,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:37.320,0.41,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:37.118,0.88,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:36.930,0.8,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:36.721,0.88,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:36.526,1.42,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:36.321,1.01,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:36.116,1.36,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:35.919,2.24,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:35.716,1.4,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:35.517,1.53,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:35.322,0.0,0.0,30.0,0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:35.120,0.33,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:34.922,0.98,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:34.719,0.95,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:34.523,0.96,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:34.316,0.95,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:34.114,0.97,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:33.918,0.95,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
2022-10-06 11:40:33.716,0.94,0.0,30.0,-0.0,190.0,190.0,205.0,205.0,230.0,230.0,250.0,250.0
